INC000001111111;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;00547/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 02:24:23
INC000003234564;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;00547/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 02:24:23
INC000001222222;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;12247/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP660;2/10/2017 15:24:23
INC000003333333;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;12247/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 19:24:23
INC000004444444;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;12247/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP60;2/10/2017 03:24:23
INC000005555555;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;00547/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 08:24:23
INC000006666666;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;00547/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP60;2/10/2017 16:24:23
INC000007777777;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;00547/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 02:24:23
INC000008888888;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;00547/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP60;2/10/2017 15:24:23
INC000009999999;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;12247/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 19:24:23
INC000001234567;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;00547/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP60;2/10/2017 11:24:23
INC000001340806;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 11:24:23
INC000001340806;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 11:24:23
INC000001340806;00 00:10:59;7260APL-SIGHB;Produção.7259APL-SIGHB.Base Desatualizada;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;2/10/2017 11:24:23
